token_age_b,transfers,transactions,buys_m5,sells_m5,buys_h1,sells_h1,volume_m5,volume_h1,price_change_m5,price_change_h1,price_change_h6,price_change_h24,liquidity,market_cap,is_mutable_metadata,is_telegram,is_twitter,is_website,boosts,telegram_members,twitter_days,twitter_tweets,twitter_followers,twitter_smart_followers,sns_held_all,sns_sold_some,sns_sold_all,PNL,profit,sns_most_common,sns_most_common_except_0,tt_f10_bought,tt_f10_sold,sns_f10_bought,sns_f10_sold,sns_no_bought,sns_no_sold,tt_no_bought,tt_no_sold,sns_pnl_loss,tt_pnl_loss
2.3,0.0,20.0,19.0,1.0,19.0,1.0,459.96,459.96,39.24,39.24,39.24,39.24,5571.68,3463.0,0,0,0,0,0,0,0,0,0,0,18,0,1,-21.16,0,2.35,2.35,513.85,24.39,438.85,16.0,0,18,0,18,0,1
2.39,0.0,331.0,202.0,129.0,202.0,129.0,83736.85,83736.85,192.0,192.0,192.0,192.0,62741.09,253040.0,0,0,1,1,0,0,0,0,0,0,41,12,47,-43.04,0,0.0,23.0,12704.0,56283.08,17829.450000000004,22772.5,28,41,66,0,6,0
2.61,0.0,351.0,210.0,141.0,210.0,141.0,159898.64,159898.64,123.0,123.0,123.0,123.0,61452.83,240665.0,0,0,0,0,0,0,0,0,0,0,28,13,59,-68.89,0,0.0,23.0,32281.0,128930.0,36975.28,40594.229999999996,10,28,77,0,17,0
2.46,0.0,210.0,114.0,96.0,114.0,96.0,48107.49,48107.49,-76.29,-76.29,-76.29,-76.29,17267.17,19086.0,0,0,0,0,0,0,0,0,0,0,31,11,58,-23.9,0,0.0,23.0,10345.940000000004,28296.62,15521.060000000003,27226.25,37,31,53,26,21,7
2.92,0.0,52.0,52.0,0.0,52.0,0.0,379377.23,379377.23,51007754.0,51007754.0,51007754.0,51007754.0,759236.27,6049905567.0,0,0,0,0,0,0,0,0,0,0,68,0,0,-99.06,0,0.1,0.1,379687.52,0.0,379548.8199999996,0.0,3,68,3,74,0,0
2.86,0.0,463.0,277.0,186.0,277.0,186.0,80668.41,80668.41,-27.99,-27.99,-27.99,-27.99,32175.22,66074.0,0,0,0,0,0,0,0,0,0,0,39,15,46,-29.59,0,0.0,23.0,4861.0,28675.78,14119.880000000001,15531.769999999999,24,39,78,0,23,0
6.85,0.0,395.0,122.0,111.0,229.0,166.0,31701.17,45645.66,46.79,63.58,63.58,63.58,48207.13,149100.0,0,0,0,0,0,0,0,0,0,0,38,11,51,71.03,1,23.0,23.0,16172.260000000002,25540.260000000006,9233.149999999996,8951.710000000001,11,38,34,4,21,0
6.67,0.0,323.0,78.0,92.0,192.0,131.0,15299.35,26423.68,-38.8,-23.11,-23.11,-23.11,32949.68,69898.0,0,0,0,0,0,0,0,0,0,0,35,5,60,-33.15,0,0.0,23.0,5036.130000000002,13695.710000000001,6334.179999999999,5949.569999999999,15,35,55,11,29,2
8.93,0.0,175.0,77.0,14.0,158.0,17.0,15403.43,397567.25,2.48,52748272.0,52748272.0,52748272.0,773382.0,6262422001.0,0,0,0,0,0,0,0,0,0,0,84,3,13,-99.91,0,0.1,0.1,785.1500000000001,10041.21,383630.5299999996,389.99,4,84,12,78,3,0
8.27,0.0,523.0,324.0,44.0,476.0,47.0,59876.36,428195.05,11.39,5252906.0,5252906.0,5252906.0,770103.98,6217916611.0,1,0,0,0,10,0,0,0,0,0,84,5,11,-96.56,0,0.0,0.1,7704.799999999999,20841.460000000003,366511.96999999945,3824.81,22,87,70,68,1,0
9.35,0.0,1008.0,229.0,258.0,484.0,524.0,186220.72,410259.35,-100.0,-99.8,-99.8,-99.8,156.07,235.0,1,0,0,0,0,0,0,0,0,0,38,20,42,-45.46,0,0.1,0.1,5326.070000000002,199302.36000000004,86945.98999999999,184379.29,7,39,44,22,37,13
8.12,0.0,145.0,10.0,12.0,66.0,79.0,1006.95,55533.27,5.68,-91.22,-91.22,-91.22,10406.67,6903.0,0,0,0,0,0,0,0,0,0,0,26,10,60,76.62,1,0.0,70.0,20985.629999999994,34453.98,20985.629999999997,34453.98,37,26,37,26,24,24
